,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold
0,0.23031417138348964,0.14244185839474044,0.6012269569799413,98.0,7274.0,590.0,65.0,0.7631007807575408,0.0002164218823617809
1,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,2.4770364077435387e+44
2,0.2511777495563336,0.1484374983433315,0.8159508701870631,133.0,7101.0,763.0,30.0,0.8594632525947238,0.0001570444728974634
3,0.23175724593475722,0.13473053757753956,0.828220808084613,135.0,6997.0,867.0,28.0,0.858985810933102,0.00020004986210605554
4,0.2802509244816257,0.18924730775812243,0.5398772674921921,88.0,7487.0,377.0,75.0,0.7459686604796885,0.00013209782773550602
5,0.2496749278343877,0.1579804534530871,0.5950919880311664,97.0,7347.0,517.0,66.0,0.7646746999606813,0.0022502262225101966
6,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,3.910622405707305e+66
7,0.2384582263113636,0.15072933305138844,0.5705521122360667,93.0,7340.0,524.0,70.0,0.7519596951862646,0.0022258876819806835
8,0.23728512510420136,0.14542936086662936,0.6441717396213656,105.0,7247.0,617.0,58.0,0.7828564897740109,0.0017240027038636187
9,0.2745067444454534,0.16903408850803853,0.7300613049042144,119.0,7279.0,585.0,44.0,0.8278358630460154,0.0006088164555437016
10,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,1.3100909353759158e+51
11,0.21420935427528906,0.12871286969414766,0.6380367706725908,104.0,7160.0,704.0,59.0,0.7742574689974973,0.0003834964595876832
12,0.2137560056078528,0.13364055094254146,0.5337422985434173,87.0,7300.0,564.0,76.0,0.7310115522158911,0.0006637438569368763
13,0.2648177567155685,0.19533527127302416,0.41104291956791905,67.0,7588.0,276.0,96.0,0.6879731509277347,0.00032815697028089797
14,0.24169485737840152,0.14223669769558417,0.8036809322895133,131.0,7074.0,790.0,32.0,0.8516115996480038,0.001751139947913065
15,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,2.1218232826394733e+71
16,0.23915282321825584,0.14782608481411472,0.625766832775041,102.0,7276.0,588.0,61.0,0.7754978811575931,0.0002594604277768978
17,0.25411454129723865,0.15720523788638666,0.6625766464676904,108.0,7285.0,579.0,55.0,0.7944750170069088,0.00046028378526816795
18,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,1.1457070856081178e+40
19,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,2.7290495910674754e+45
20,0.2552597817272169,0.16247905925495715,0.5950919880311664,97.0,7364.0,500.0,66.0,0.7657555748335195,0.0003015830721371286
21,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,4.092174992164922e+59
22,0.1887345058271052,0.10773240566696433,0.760736149648089,124.0,6837.0,1027.0,39.0,0.8150705396651043,0.0002874825759571873
23,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,6.516813003258385e+46
24,0.2449771773542502,0.1464585816751671,0.7484662117505392,122.0,7153.0,711.0,41.0,0.8290271267997678,0.00017788582345906403
25,0.18691209346672563,0.1252609577189779,0.3680981369264947,60.0,7445.0,419.0,103.0,0.657408693182882,0.0003202056274623768
26,0.19385031238042466,0.12005856339592148,0.5030674537995427,82.0,7263.0,601.0,81.0,0.7133216365327125,0.0005880216358765996
27,0.1680442195737291,0.1041055703210327,0.4355827953630187,71.0,7253.0,611.0,92.0,0.6789434964956406,0.0004241858202068772
28,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,5.11046495220768e+52
29,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,1.24394436086486e+60
30,0.22711625916018,0.13176007736715756,0.8220858391358381,134.0,6981.0,883.0,29.0,0.85490103227256,0.0001068045766994648
31,0.17505959977752464,0.10114503720281454,0.6503067085701406,106.0,6922.0,942.0,57.0,0.7652601901029153,0.0011996296528389943
32,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,7.380032799735873e+45
33,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,1.1160169249096136e+60
34,0.2561549344164036,0.15258215783354276,0.7975459633407385,130.0,7142.0,722.0,33.0,0.8528676144767801,0.00010376434471003145
35,0.19611570877869328,0.11764705738177626,0.5889570190823915,96.0,7144.0,720.0,67.0,0.7487002976989185,0.002501076221161074
36,0.17292075212253566,0.10614524991417248,0.46625764010689325,76.0,7224.0,640.0,87.0,0.6924370744372117,0.00400242743304813
37,0.1660689385416211,0.09717868237012871,0.5705521122360667,93.0,7000.0,864.0,70.0,0.7303421977294996,0.0003314638156608483
38,0.2555960935798757,0.1627516751216162,0.5950919880311664,97.0,7365.0,499.0,66.0,0.7658191557083924,0.0007126083211254909
39,0.22531632136541624,0.13896847938440574,0.5950919880311664,97.0,7263.0,601.0,66.0,0.7593339064713629,0.0003410701827252557
40,0.17635392579193704,0.10471806553834218,0.5582821743385169,91.0,7086.0,778.0,72.0,0.7296751836434103,0.0005925434677151087
41,0.0,0.0,0.0,0.0,7864.0,0.0,163.0,0.5,5.39731252167332e+56
42,0.22436871320322976,0.1331802510541877,0.7116563980578897,116.0,7109.0,755.0,47.0,0.8078246603299027,0.00225886050007695
43,0.2211031663732619,0.12803103658553797,0.8098159012382883,132.0,6965.0,899.0,31.0,0.8477487689494412,0.0004444149037692341
44,0.15451530717881787,0.08599167762835175,0.760736149648089,124.0,6546.0,1318.0,39.0,0.7965685050771084,0.0010964567105080805
45,0.21714054650339185,0.12523540371718075,0.8159508701870631,133.0,6935.0,929.0,30.0,0.8489088273658326,8.998306319878018e-05
